"key","value"
"contact.hero.title1","Let's create your"
"contact.hero.title2","space together"
"contact.hero.description","Whether you're furnishing a single room, a new home, or an entire project, our team is here to guide you."
"contact.visit.title","Visit Our Showrooms"
"contact.visit.description","Experience our furniture collections in person across multiple locations in the region."
"contact.visit.details","Riyadh • Jeddah • Tabuk • Najran"
"contact.call.title","Call Us"
"contact.call.description","Speak directly with our design consultants for personalized assistance."
"contact.call.details","+966 11 234 5678"
"contact.email.title","Email Us"
"contact.email.description","Send us your inquiries and we'll respond within 24 hours."
"contact.email.details","hello@riyash.com"
"contact.hours.title","Business Hours"
"contact.hours.description","We're here to help you create your perfect space."
"contact.hours.details","Sun-Thu: 9AM-9PM • Fri-Sat: 2PM-10PM"
"contact.info.title","Get in touch"
"contact.form.name","Name"
"contact.form.namePlaceholder","Enter your name"
"contact.form.email","Email address"
"contact.form.emailPlaceholder","Enter your email address"
"contact.form.location","Location"
"contact.form.locationPlaceholder","Enter your location"
"contact.form.contact","Contact"
"contact.form.contactPlaceholder","Enter your contact number"
"contact.form.message","Message"
"contact.form.messagePlaceholder","Enter your message"
"contact.form.submit","Submit"
"contact.form.submitting","Submitting..."
"contact.form.privacy","By pressing the submit button, I agree to Riyash contacting me by email. I also understand that any information I've shared in this form is subject to Riyash privacy policy."
"contact.form.success","Thank you for your message! We'll get back to you soon."
"contact.map.title1","Visit our"
"contact.map.title2","showrooms"
"contact.map.description","Experience our furniture collections in person at our showrooms across the region. Each location offers the full Riyash gallery experience."
"contact.map.comingSoon","Interactive map coming soon"
"contact.map.locations","Visit our showrooms in Riyadh, Jeddah, Tabuk, and Najran"
"contact.cta.title1","LET'S DESIGN YOUR"
"contact.cta.title2","NEXT SPACE TOGETHER"
"contact.cta.description","Whether you're furnishing a single room or a full-scale project, Riyash is here to guide, create, and deliver."
"contact.cta.button","Request a Consultation"
"footer.navigation.about","About Us"
"footer.navigation.experience","Riyash Experience"
"footer.navigation.projects","Our Projects"
"footer.navigation.contact","Contact Us"
"footer.privacy","Privacy policy"
"footer.rights","All Rights Reserved"
